row ID;Label;Candidate recycling;Employee referrals;Talent pool maintenance;Event Mgt;Job board & social posting;Job search personalisation;Campaign Mgt;Existing data capture;Automatic internal profiles;Passive matching;Market places;Automated screening & triage;Integrated assessment tools;Automated scheduling;Bulk approvals;Bulk rejections;Reference chasing;automatic data capture;Offer management;Automated document sharing;Training & Familiarisation;E-signature;Rest APIs;Configurable Workflows;CV parsing;Always on video;Augmented video;Live video;Automated Interview Packs;Assessment libraries;Automatic status updates;Network sourcing;Agency Mgt;Mobile First;Outlook Integration;Confidential Workflows;Proctoring;Candidate Masking;Hiring blueprints;Skills inference;Bias Identification;Experience Surveys;Workday;Recruitment Chatbot;Personalised feedback;Spend optimisation;Move propensity analysis;ID Verification;Rules based approvals;Text Analytics;Skills clouds;Fieldglass Integration;Single Sign On;Consent management);Salary data;Diverse pool distribution;App Stores;Proprietary candidate pools
Row0;100hires.com;1;0;0;0;1;0;1;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Row1;360resourcing.co.uk;0;0;1;1;1;0;1;0;0;0;1;1;0;1;1;0;0;0;1;0;0;0;0;0;0;1;0;1;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Row2;365talents.com;0;0;0;1;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Row3;50skills.com;0;0;0;0;0;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Row4;a1000assessments.com;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Row5;acendre.com;1;0;1;1;1;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Row6;acquiretm.com;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Row7;actionhrm.com;0;0;0;1;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;1;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Row8;actonomy.com;1;0;1;1;1;0;0;0;0;0;1;1;0;1;0;0;0;0;0;0;0;0;1;0;1;1;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Row9;adaface.com;0;0;1;1;1;0;1;0;0;0;1;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;1;0;1;1;1;0;0;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Row10;adaptiveimmersion.com;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
