row ID;Label;Standard reports;Vacancy Management;Candidate Sourcing;Candidate Assessment;Selection Management;Offer to Hire Processing;Onboarding;Internal mobility
Row0;100hires.com;1;1;1;1;1;1;0;0
Row1;360resourcing.co.uk;1;1;1;1;1;1;0;0
Row2;50skills.com;1;1;1;1;1;1;1;0
Row3;AcquireTM.com;1;1;1;1;1;1;1;0
Row4;Qandidate.com;0;0;1;0;0;0;0;0
Row5;RockstarFinder.com;0;0;1;0;0;0;0;0
Row6;Vizirecruiter.com;0;0;1;0;0;0;0;0
Row7;a1000assessments.com;0;0;0;1;0;0;0;0
Row8;acendre.com;1;1;1;1;1;1;0;0
Row9;actionhrm.com;1;1;1;1;1;1;1;0
Row10;adaptiveimmersion.com;0;0;0;1;0;0;0;0
Row11;adepto.com;0;0;0;0;0;0;1;1
Row12;adp.com;1;1;1;1;1;1;1;0
Row13;alcamiinteractive.com;0;0;0;1;0;0;0;0
Row14;alchemus.com;1;1;1;1;1;0;0;0
Row15;allyo.com;0;0;1;0;0;0;0;0
Row16;alongside.com;1;1;1;1;1;1;0;0
Row17;altamirahrm.com;1;1;1;1;1;1;0;0
Row18;amazinghiring.com;1;1;1;0;0;0;0;0
Row19;apexhcm.com;1;1;1;1;1;1;0;0
Row20;applicantpro.com;1;1;1;1;1;1;1;0
Row21;applicantstack.com;1;1;1;1;1;1;1;0
Row22;appliview.com;1;1;1;1;1;0;0;0
Row23;apploi.com;1;1;1;1;1;1;1;0
Row24;aps2k.com;0;1;1;0;0;0;0;0
Row25;arca24.com;1;1;1;1;1;1;0;0
Row26;ascenderhcm.com;1;1;1;1;1;1;0;0
Row27;ascendify.com;1;1;1;1;1;1;1;1
Row28;ascentis.com;1;1;1;1;1;1;1;0
Row29;assess.co.nz;0;0;0;1;0;0;0;0
Row30;assessfirst.com;0;0;0;1;0;0;0;0
Row31;astarel.io;0;0;1;1;1;0;0;0
Row32;atomichire.com;1;1;1;1;1;1;0;0
Row33;atsii.fr;1;1;1;1;1;0;0;0
Row34;atsondemand.com;1;1;1;1;1;1;0;0
Row35;avature.net;1;1;1;1;1;1;1;1
Row36;b-ite.de;1;1;1;1;1;0;0;0
Row37;backgroundsmartsolutions.com;0;0;0;1;0;0;1;0
Row38;bamboohr.com;1;1;1;1;1;1;1;0
Row39;beamery.com;1;0;1;0;0;0;0;0
Row40;beapplied.com;0;0;1;1;0;0;0;0
