row ID;Label;AI Matching;Assessment;Scheduling;Triage;Bulk;Campaigns;Confidentiality;CRM;Parsing;FS;Analytics;Marketplace;Languages;Multi-device;Sharing;Social;White Label;Workflow;Vetting;Web-tracking;Video;Agents;Chatbot;Events;?
Row0;100hires.com;0;0;1;0;1;1;0;0;1;0;1;0;0;1;0;1;0;1;0;1;0;0;0;0;0
Row1;360resourcing.co.uk;0;0;1;0;1;1;1;1;1;0;1;0;0;1;0;1;1;1;0;0;0;0;0;0;0
Row2;365talents.com;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
Row3;50skills.com;0;0;1;1;1;1;0;0;1;0;1;0;0;1;1;1;1;1;0;0;1;0;0;0;0
Row4;AcquireTM.com;0;0;1;0;1;1;0;1;1;1;1;0;0;1;1;1;1;1;0;1;1;1;0;0;0
Row5;Qandidate.com;0;0;0;0;0;1;0;1;0;0;1;0;1;1;1;1;1;0;0;0;0;0;0;0;0
Row6;RockstarFinder.com;0;0;0;0;0;0;0;0;1;0;0;0;0;1;1;1;0;0;0;0;0;0;0;0;0
Row7;Vizirecruiter.com;0;0;1;0;0;0;0;0;0;0;0;0;0;1;1;1;1;0;0;0;1;0;0;0;0
Row8;a1000assessments.com;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Row9;acendre.com;0;0;0;1;0;0;1;0;0;0;1;0;0;1;1;0;1;1;0;0;0;0;0;0;0
Row10;actionhrm.com;0;0;1;0;0;1;0;1;1;0;0;0;1;0;0;0;1;0;0;0;0;0;0;0;0
Row11;adaptiveimmersion.com;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Row12;adepto.com;0;0;0;1;0;0;1;1;0;1;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0
Row13;alcamiinteractive.com;0;0;1;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0
Row14;alchemus.com;0;0;1;1;1;1;0;1;1;0;1;0;0;0;1;1;1;0;0;0;1;0;0;0;0
Row15;allyo.com;0;1;1;1;0;0;1;0;0;1;0;0;1;1;1;0;1;0;0;0;0;0;1;0;0
Row16;alongside.com;0;0;0;0;1;1;0;0;1;0;1;0;0;1;1;1;1;1;0;1;0;0;0;0;0
Row17;altamirahrm.com;0;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;0;1;0;0;1;0;0;0;0
Row18;amazinghiring.com;1;1;0;1;1;1;0;1;1;1;1;0;0;0;1;1;1;1;0;1;0;0;0;0;0
Row19;applicantpro.com;0;0;1;1;0;1;0;1;0;0;0;0;0;1;0;0;1;1;1;0;0;0;0;0;0
Row20;applicantstack.com;0;1;1;1;0;1;1;0;1;0;1;0;0;1;1;1;1;1;1;0;1;0;0;0;0
Row21;appliview.com;1;0;1;1;1;1;1;1;1;0;1;0;1;0;1;1;1;1;0;0;0;0;0;0;0
Row22;apploi.com;0;0;1;1;1;0;0;1;1;1;1;0;0;1;0;1;1;1;0;1;0;0;0;0;0
Row23;aps2k.com;1;0;1;1;1;1;1;1;1;0;1;0;0;1;0;1;0;1;0;1;0;0;0;0;0
Row24;arca24.com;1;0;0;1;0;0;0;1;1;0;0;1;1;1;0;0;1;0;0;0;1;0;0;0;0
Row25;ascendify.com;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0;0;0
Row26;ascentis.com;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;1;1;1;0;0;0;0;0;0;0
Row27;assess.co.nz;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Row28;assessfirst.com;1;1;0;1;1;1;0;0;0;0;1;0;0;1;0;0;1;1;0;0;0;0;0;0;0
Row29;astarel.io;0;0;1;1;0;0;0;0;0;0;1;0;0;1;0;0;0;1;0;0;1;0;0;0;0
Row30;atomichire.com;0;0;0;0;0;0;0;0;0;0;1;0;0;1;1;0;1;1;0;0;0;0;0;0;0
Row31;atsii.fr;0;0;0;0;0;0;0;0;1;0;1;0;0;1;1;1;1;1;0;0;0;0;0;0;0
Row32;atsondemand.com;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;1;0;1;0;0;0;0
Row33;avature.net;1;0;1;1;1;1;1;1;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0;1;0
Row34;b-ite.de;0;0;0;1;1;1;1;0;1;1;1;0;1;1;1;1;1;1;1;1;1;1;0;0;0
Row35;backgroundsmartsolutions.com;0;0;1;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;1;0;1;0;0;0;0
Row36;bamboohr.com;0;0;0;0;0;0;1;0;0;0;1;0;0;1;1;1;1;0;0;0;0;0;0;0;0
Row37;beamery.com;1;0;1;1;0;1;1;1;1;1;1;1;1;1;1;1;1;1;0;1;0;0;0;1;0
Row38;beapplied.com;0;1;0;1;0;0;0;0;0;0;1;0;0;1;1;0;1;1;0;0;1;0;0;0;0
Row39;benefinderhcm.com;0;0;1;0;0;1;0;0;0;0;0;1;0;1;1;0;0;1;0;0;0;0;0;0;0
Row40;berkeassessment.com;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Row41;betterteam.com;0;0;0;0;0;1;0;0;0;0;1;0;0;1;1;1;0;0;0;0;0;0;0;0;0
